,date_time_utc,event_id,recipient_address,recipient_status,sender_address
5420,2021-02-24T08:20:18.2760000Z,SETROUTE,ext_55;,,int_1
5421,2021-02-25T13:43:38.6830000Z,RECEIVE,int_177;,Unknown,int_1
5422,2021-02-23T16:35:38.5690000Z,EXPAND,int_8;int_7;,'250 2.1.5 RESOLVER.GRP.Expanded; distribution list expanded',int_54
5423,2021-02-24T15:02:12.7980000Z,RECEIVE,int_236;,,int_1
5424,2021-02-24T07:40:15.0790000Z,SETROUTE,ext_55;,,int_1
5425,2021-02-10T06:45:07.8100000Z,AGENTINFO,int_8;int_7;int_2;,,int_1
5426,2021-02-18T11:18:14.7890000Z,SUBMIT,int_104;,,int_1
5427,2021-02-09T08:22:10.4940000Z,AGENTINFO,int_8;int_7;int_2;,,int_1
5428,2021-02-10T06:45:08.1140000Z,DELIVER,int_5;,,int_1
5429,2021-02-04T08:03:47.4210000Z,RECEIVE,int_226;,Unknown,int_1
5430,2021-02-24T18:20:04.5890000Z,RECEIVE,ext_44;,,int_1
5431,2021-02-03T16:21:13.4890000Z,DELIVER,int_8;,,int_147
5432,2021-02-22T13:57:11.8980000Z,AGENTINFO,int_153;int_256;int_255;,,int_254
5433,2021-02-03T16:21:13.0940000Z,RECIPIENTINFO,ext_257;ext_257;ext_257;ext_257;ext_257;,'NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10;NotFound.OneOff.Resolver.CreateRecipientItems.10',int_147
5434,2021-02-09T09:45:27.1850000Z,TRANSFER,ext_258;,,int_15
5435,2021-02-22T13:57:10.7930000Z,SUBMIT,ext_128;int_153;ext_128;int_256;int_255;ext_128;,,int_254
5436,2021-02-03T16:21:17.9690000Z,SENDEXTERNAL,ext_257;ext_257;ext_257;ext_257;ext_257;,250 2.0.0 RCPT TO accepted;250 2.0.0 RCPT TO accepted;250 2.0.0 RCPT TO accepted;250 2.0.0 RCPT TO accepted;250 2.0.0 RCPT TO accepted,int_147
5437,2021-02-10T13:23:04.9670000Z,RECEIVE,int_134;,Unknown,int_1
5438,2021-02-10T13:23:05.1920000Z,SUBMIT,int_134;,,int_1
5439,2021-02-10T13:56:53.1100000Z,SUBMIT,int_31;,,int_71
5440,2021-02-28T05:37:05.2990000Z,RECEIVE,int_41;,Unknown,int_1
5441,2021-02-28T05:39:09.2650000Z,AGENTINFO,ext_55;,,int_1
5442,2021-02-28T06:27:14.7510000Z,DELIVER,int_2;,Tickets-Mailbox Rules Agent,int_1
5443,2021-02-25T07:47:13.3870000Z,RECEIVE,ext_174;ext_174;ext_174;ext_270;int_269;int_2;int_146;ext_174;ext_174;,To;To;To;To;To;Cc;Cc;Cc;Cc,int_8
5444,2021-02-05T10:56:58.4620000Z,DELIVER,int_271;,,int_8
5445,2021-02-25T07:47:13.7770000Z,RESUBMIT,int_269;int_2;int_146;,Message forked,int_8
5446,2021-02-28T05:27:10.4840000Z,AGENTINFO,int_227;,,int_1
5447,2021-02-28T05:39:09.0540000Z,AGENTINFO,ext_55;,,int_1
5448,2021-02-05T10:56:41.5710000Z,AGENTINFO,int_272;int_272;int_241;,,int_8
5449,2021-02-28T06:48:04.7770000Z,AGENTINFO,int_18;,,int_1
5450,2021-02-28T06:27:15.1260000Z,DELIVER,int_124;,Help Desk no reply-Mailbox Rules Agent,int_1
5451,2021-02-25T07:47:14.4200000Z,SETROUTE,ext_174;,,int_8
5452,2021-02-28T06:27:14.1370000Z,AGENTINFO,int_127;int_126;int_125;int_124;int_123;int_122;int_121;int_120;int_82;int_7;int_2;,,int_1
5453,2021-02-05T10:56:28.5620000Z,RESUBMIT,int_278;int_277;ext_45;int_276;int_271;int_275;int_274;int_273;int_272;int_272;int_241;,;'250 2.1.5 RESOLVER.GRP.Expanded; distribution list expanded';;;;;;;;;,int_8
5454,2021-02-28T05:39:09.0580000Z,SETROUTE,ext_55;,,int_1
5455,2021-02-28T05:27:10.4550000Z,SUBMIT,int_227;,,int_1
5456,2021-02-28T06:48:04.7480000Z,SUBMIT,int_18;,,int_1
5457,2021-02-28T06:53:05.4110000Z,DELIVER,int_5;,,int_1
5458,2021-02-28T05:26:10.0860000Z,CLIENTSUBMISSION,int_167;,,int_1
5459,2021-02-05T07:20:49.4750000Z,AGENTINFO,int_146;,,int_8
5460,2021-02-05T10:56:46.7240000Z,DELIVER,int_241;,,int_8
5461,2021-02-05T20:47:12.3320000Z,AGENTINFO,int_81;,,int_279
5462,2021-02-28T06:27:14.1270000Z,RECIPIENTINFO,int_58;int_58;,'MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70',int_1
5463,2021-02-28T06:27:14.1200000Z,RESUBMIT,int_58;int_58;,Message forked,int_1
5464,2021-02-25T07:47:14.4200000Z,SETROUTE,ext_174;,,int_8
5465,2021-02-28T06:27:14.4500000Z,DELIVER,int_7;,UAE HD-Mailbox Rules Agent,int_1
5466,2021-02-28T06:45:09.7410000Z,RECEIVE,int_2;,Unknown,int_1
5467,2021-02-28T05:26:10.9280000Z,RECEIVE,int_167;,Unknown,int_1
5468,2021-02-25T07:47:14.4180000Z,AGENTINFO,ext_174;,,int_8
5469,2021-02-28T05:26:11.2700000Z,SUBMIT,int_167;,,int_1
5470,2021-02-28T06:27:14.0730000Z,EXPAND,int_127;int_126;int_125;int_124;int_123;int_122;int_121;int_120;int_82;int_7;int_2;,'250 2.1.5 RESOLVER.GRP.Expanded; distribution list expanded',int_1
5471,2021-02-28T06:53:04.5230000Z,SUBMIT,int_5;,,int_1
5472,2021-02-15T09:35:16.9330000Z,CLIENTSUBMISSION,int_5;,,int_1
5473,2021-02-15T09:41:03.1750000Z,RECEIVE,ext_55;,Unknown,int_1
5474,2021-02-15T07:33:08.7190000Z,CLIENTSUBMISSION,int_58;,,int_1
5475,2021-02-15T06:00:15.3790000Z,DELIVER,int_202;,HelpDesk-Mailbox Rules Agent,int_1
5476,2021-02-15T03:25:07.2740000Z,RECEIVE,int_5;,Unknown,int_1
5477,2021-02-15T14:56:04.7410000Z,RECIPIENTINFO,int_69;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_1
5478,2021-02-15T07:36:14.7570000Z,RECIPIENTINFO,int_11;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_1
5479,2021-02-15T10:05:04.5500000Z,AGENTINFO,int_53;,,int_1
5480,2021-02-15T09:17:16.8810000Z,SENDEXTERNAL,ext_55;,250 2.1.5 Recipient OK,int_1
5481,2021-02-15T08:03:12.7470000Z,CLIENTSUBMISSION,int_36;,,int_1
5482,2021-02-15T07:33:08.9120000Z,AGENTINFO,int_127;int_126;int_125;int_124;int_123;int_122;int_121;int_120;int_82;int_7;int_2;int_58;int_58;,,int_1
5483,2021-02-15T14:01:45.4660000Z,SETROUTE,ext_56;,,int_105
5484,2021-02-15T07:12:16.4060000Z,AGENTINFO,int_97;,,int_96
5485,2021-02-15T17:20:56.6120000Z,AGENTINFO,int_280;,,int_146
5486,2021-02-15T10:05:04.8690000Z,DELIVER,int_53;,HelpDesk-Mailbox Rules Agent,int_1
5487,2021-02-15T07:36:14.6990000Z,RECEIVE,int_11;,,int_1
5488,2021-02-15T07:06:09.8470000Z,DELIVER,int_2;,Tickets-Mailbox Rules Agent,int_1
5489,2021-02-15T06:00:14.1560000Z,RECEIVE,int_202;,,int_1
